District_name,Total_population
Thane,11060148.0
North Twenty Four Parganas,10009781.0
Bangalore,9621551.0
Pune,9429408.0
Mumbai Suburban,9356962.0
South Twenty Four Parganas,8161961.0
Barddhaman,7717563.0
Ahmadabad,7214225.0
Murshidabad,7103807.0
Jaipur,6626178.0
Aurangabad,6241355.0
Nashik,6107187.0
Surat,6081322.0
Allahabad,5954391.0
Paschim Medinipur,5913457.0
Patna,5838465.0
Hugli,5519145.0
Rangareddy,5296741.0
Nadia,5167600.0
East Godavari,5154296.0
Purba Champaran,5099371.0
Purba Medinipur,5095875.0
Guntur,4887813.0
Haora,4850029.0
Muzaffarpur,4801062.0
Belgaum,4779661.0
Moradabad,4772006.0
Ghaziabad,4681645.0
Nagpur,4653570.0
Chennai,4646732.0
Azamgarh,4613913.0
Lucknow,4589838.0
Kanpur Nagar,4581268.0
Ahmadnagar,4543159.0
Krishna,4517398.0
Kolkata,4496694.0
Jaunpur,4494204.0
Madhubani,4487379.0
Sitapur,4483992.0
Bareilly,4448359.0
Gorakhpur,4440895.0
Agra,4418797.0
Gaya,4391418.0
Solapur,4317756.0
Visakhapatnam,4290589.0
Samastipur,4261566.0
Jalgaon,4229917.0
Chittoor,4174064.0
Vadodara,4165626.0
Muzaffarnagar,4143512.0
Raigarh,4128184.0
Malappuram,4112920.0
Hardoi,4092845.0
Anantapur,4081148.0
Pratapgarh,4076989.0
Raipur,4063872.0
Kurnool,4053463.0
Mahbubnagar,4053028.0
Kheri,4021243.0
Kancheepuram,3998252.0
Maldah,3988845.0
Saran,3951862.0
Hyderabad,3943323.0
Darbhanga,3937385.0
West Godavari,3936966.0
Vellore,3936331.0
Pashchim Champaran,3935042.0
Kolhapur,3876001.0
Jalpaiguri,3872846.0
Rajkot,3804558.0
Sultanpur,3797117.0
Karimnagar,3776269.0
Thiruvallur,3728104.0
Jodhpur,3687165.0
Bijnor,3682713.0
Budaun,3681896.0
Varanasi,3676841.0
Alwar,3674179.0
Aligarh,3673889.0
North West,3656539.0
Ghazipur,3620268.0
Bankura,3596674.0
Kushinagar,3564544.0
Ganjam,3529031.0
Warangal,3512576.0
Birbhum,3502404.0
Bulandshahr,3499171.0
Ludhiana,3498739.0
Vaishali,3495021.0
Nalgonda,3488809.0
Bahraich,3487731.0
Salem,3482056.0
Saharanpur,3466382.0
Viluppuram,3458873.0
Coimbatore,3458045.0
Meerut,3443689.0
Gonda,3433919.0
Sitamarhi,3423574.0
Rae Bareli,3405559.0
Prakasam,3397448.0
Nanded,3361292.0
Durg,3343872.0
Siwan,3330464.0
Nagaur,3307743.0
Thiruvananthapuram,3301427.0
Ernakulam,3282388.0
Indore,3276697.0
Purnia,3264619.0
Bara Banki,3260699.0
Ballia,3239774.0
Thrissur,3121200.0
Banas Kantha,3120506.0
Unnao,3108367.0
Deoria,3100946.0
Kozhikode,3086293.0
Mumbai,3085411.0
Tirunelveli,3077233.0
Katihar,3071029.0
Udaipur,3068420.0
Bilaspur,3045585.0
Madurai,3038252.0
Bhagalpur,3037766.0
Medak,3033288.0
Uttar Dinajpur,3007134.0
Shahjahanpur,3006538.0
Satara,3003741.0
Mysore,3001127.0
Begusarai,2970541.0
Sri Potti Sriramulu Nellore,2963557.0
Rohtas,2959918.0
Puruliya,2930115.0
Ranchi,2914253.0
Amravati,2888445.0
Y.S.R.,2882469.0
Bhavnagar,2880365.0
Nalanda,2877653.0
Nagaon,2823768.0
Sangli,2822143.0
Koch Bihar,2819086.0
Araria,2811569.0
Palakkad,2809934.0
Khammam,2797370.0
Yavatmal,2772348.0
Junagadh,2743082.0
Adilabad,2741239.0
South,2731929.0
Bhojpur,2728407.0
Tiruchirappalli,2722290.0
Srikakulam,2703114.0
Mahrajganj,2684703.0
Dhanbad,2684487.0
Tumkur,2678980.0
Sikar,2677333.0
Kollam,2635375.0
Fatehpur,2632733.0
Cuttack,2624470.0
Cuddalore,2605914.0
Barmer,2603751.0
Buldana,2586258.0
Bid,2585049.0
Ajmer,2583052.0
Gulbarga,2566326.0
Gopalganj,2562012.0
Siddharthnagar,2559297.0
Nizamabad,2551335.0
Bharatpur,2548462.0
Mathura,2547184.0
West,2543243.0
Kannur,2523003.0
Mayurbhanj,2519738.0
Firozabad,2498156.0
Mirzapur,2496970.0
Amritsar,2490656.0
Tiruppur,2479052.0
Faizabad,2470996.0
Tiruvannamalai,2464875.0
Basti,2464464.0
Jabalpur,2463289.0
Latur,2454196.0
Bellary,2452595.0
Giridih,2445474.0
Bijapur,2432561.0
Sabar Kantha,2428589.0
Bhilwara,2408523.0
Thanjavur,2405890.0
Ambedkar Nagar,2397888.0
Panch Mahals,2390776.0
Sagar,2378458.0
Bhopal,2371061.0
Rewa,2365106.0
Bikaner,2363937.0
Surguja,2359886.0
Vizianagaram,2344474.0
Rampur,2335819.0
Baleshwar,2320529.0
Kheda,2299885.0
Gurdaspur,2298323.0
Purbi Singhbhum,2293919.0
South West,2292958.0
Erode,2251744.0
Khordha,2251673.0
North East,2241624.0
Supaul,2229076.0
Satna,2228935.0
Nawada,2219146.0
Mau,2205968.0
Chandrapur,2204307.0
Jalandhar,2193590.0
Dhar,2185793.0
Jamnagar,2160119.0
Dindigul,2159775.0
Balrampur,2148665.0
Jhunjhunun,2137045.0
Alappuzha,2127789.0
Dohad,2127086.0
Sundargarh,2093437.0
Anand,2092745.0
Kachchh,2092371.0
Chhindwara,2090922.0
Dakshina Kannada,2089649.0
Bokaro,2062330.0
Dhule,2050862.0
Churu,2039547.0
Pali,2037573.0
Mahesana,2035064.0
Banka,2034763.0
Gwalior,2032036.0
Pilibhit,2031007.0
Firozpur,2029074.0
Madhepura,2001762.0
Jhansi,1998603.0
Ujjain,1986864.0
Kottayam,1974551.0
Ganganagar,1969168.0
Morena,1965970.0
Jalna,1959046.0
Chandauli,1952756.0
Kota,1951014.0
Dhubri,1949258.0
Davanagere,1945497.0
Virudhunagar,1942288.0
Palamu,1939869.0
Raichur,1928812.0
