District_name,Total_Literate_Male,Total_Literate_Female
Kupwara,282823.0,156831.0
Badgam,207741.0,127908.0
Leh(Ladakh),62834.0,30936.0
Kargil,56301.0,29935.0
Punch,163333.0,98391.0
Rajouri,224469.0,139640.0
Kathua,228499.0,160705.0
Baramula,337170.0,207979.0
Bandipore,117058.0,68921.0
Srinagar,431746.0,316838.0
Ganderbal,90581.0,52695.0
Pulwama,178326.0,115632.0
Shupiyan,80355.0,56145.0
Anantnag,324417.0,221115.0
Kulgam,125052.0,84033.0
Doda,138620.0,80463.0
Ramban,82938.0,41127.0
Kishtwar,68700.0,38806.0
Udhampur,197543.0,124811.0
Reasi,93937.0,56605.0
Jammu,641916.0,495219.0
Samba,130312.0,97827.0
Chamba,186064.0,137778.0
Kangra,606443.0,546197.0
Lahul AND Spiti,12897.0,8948.0
Kullu,174550.0,133122.0
Mandi,393669.0,330078.0
Hamirpur,588680.0,422710.0
Una,213281.0,186434.0
Bilaspur,1088073.0,796107.0
Solan,244372.0,184206.0
Sirmaur,205617.0,157028.0
Shimla,342846.0,269796.0
Kinnaur,36697.0,24002.0
Gurdaspur,907660.0,727059.0
Kapurthala,316254.0,260313.0
Jalandhar,882581.0,739956.0
Hoshiarpur,637927.0,561772.0
Shahid Bhagat Singh Nagar,239155.0,199304.0
Fatehgarh Sahib,238696.0,187337.0
Ludhiana,1428348.0,1131877.0
Moga,348549.0,279340.0
Firozpur,707070.0,520441.0
Muktsar,300401.0,224447.0
Faridkot,215767.0,165518.0
Bathinda,488261.0,356607.0
Mansa,244037.0,179523.0
Patiala,711052.0,555739.0
Amritsar,932981.0,751789.0
Tarn Taran,376427.0,289735.0
Rupnagar,278534.0,224197.0
Sahibzada Ajit Singh Nagar,409944.0,326631.0
Sangrur,570413.0,431664.0
Barnala,201999.0,157832.0
Chandigarh,465346.0,340092.0
Uttarkashi,128237.0,86889.0
Chamoli,155395.0,125161.0
Rudraprayag,91803.0,79130.0
Tehri Garhwal,227406.0,180588.0
Dehradun,702216.0,557290.0
Garhwal,262148.0,232741.0
Pithoragarh,189623.0,155927.0
Bageshwar,97546.0,81937.0
Almora,231604.0,204893.0
Champawat,102015.0,75711.0
Nainital,385779.0,310721.0
Udham Singh Nagar,598525.0,439314.0
Hardwar,691411.0,486943.0
Panchkula,229862.0,175456.0
Ambala,461288.0,356737.0
Yamunanagar,474793.0,357664.0
Kurukshetra,370828.0,276065.0
Kaithal,385782.0,260747.0
Karnal,564516.0,413497.0
Panipat,464136.0,322463.0
Sonipat,589881.0,408435.0
Jind,502049.0,330709.0
Fatehabad,327471.0,230107.0
Sirsa,456968.0,325929.0
Hisar,670200.0,444111.0
Bhiwani,643158.0,426713.0
Rohtak,436025.0,311557.0
Jhajjar,399480.0,276611.0
Mahendragarh,380440.0,249815.0
Rewari,375453.0,261494.0
Gurgaon,638666.0,472450.0
Mewat,308435.0,146462.0
Faridabad,734940.0,537799.0
Palwal,379696.0,220100.0
North West,1541952.0,1165903.0
North,381615.0,299902.0
North East,912481.0,699107.0
East,748382.0,604616.0
New Delhi,65678.0,48501.0
Central,240518.0,201842.0
West,1093933.0,867246.0
South West,1025261.0,762428.0
South,1185036.0,893366.0
Ganganagar,710908.0,482435.0
Hanumangarh,624281.0,409855.0
Bikaner,782399.0,496402.0
Churu,696729.0,452540.0
Jhunjhunun,815834.0,554526.0
Alwar,1359829.0,822647.0
Bharatpur,943910.0,536959.0
Dhaulpur,435721.0,247377.0
Karauli,531904.0,273945.0
Sawai Madhopur,486184.0,255564.0
Dausa,596935.0,341116.0
Jaipur,2554793.0,1746172.0
Sikar,995275.0,656842.0
Nagaur,1102750.0,655874.0
Jodhpur,1265753.0,765779.0
Jaisalmer,210415.0,98238.0
Barmer,783461.0,404861.0
Jalor,543923.0,285659.0
Sirohi,309900.0,166906.0
Pali,667381.0,418312.0
Ajmer,926268.0,600405.0
Tonk,478329.0,271330.0
Bundi,371705.0,213339.0
Bhilwara,777582.0,478544.0
Rajsamand,383334.0,235805.0
Dungarpur,415820.0,265771.0
Banswara,513854.0,315489.0
Chittaurgarh,514851.0,306974.0
Kota,765396.0,532949.0
Baran,432607.0,260700.0
Jhalawar,466815.0,272977.0
Udaipur,973444.0,609185.0
Pratapgarh,1371503.0,961571.0
Saharanpur,1220114.0,856994.0
Muzaffarnagar,1448528.0,968811.0
Bijnor,1241471.0,893922.0
Moradabad,1357435.0,906413.0
Rampur,630408.0,413258.0
Jyotiba Phule Nagar,600541.0,382569.0
Meerut,1254520.0,886968.0
Baghpat,489858.0,308112.0
Ghaziabad,1811397.0,1311867.0
Gautam Buddha Nagar,666065.0,456882.0
Bulandshahr,1253314.0,778342.0
Aligarh,1283380.0,809187.0
Mahamaya Nagar,579157.0,363415.0
Mathura,943346.0,564400.0
Agra,1614594.0,1065916.0
Firozabad,912314.0,609492.0
Mainpuri,712110.0,491775.0
Budaun,986501.0,560976.0
Bareilly,1342697.0,849062.0
Pilibhit,654290.0,406805.0
Shahjahanpur,915142.0,575788.0
Kheri,1237157.0,796887.0
Sitapur,1397702.0,886031.0
Hardoi,1374587.0,847014.0
Unnao,1053063.0,720521.0
Lucknow,1742440.0,1384820.0
Rae Bareli,1165965.0,799878.0
Farrukhabad,654827.0,437850.0
Kannauj,603596.0,413491.0
Etawah,623583.0,438420.0
Auraiya,546198.0,384638.0
Kanpur Dehat,692964.0,477279.0
Kanpur Nagar,1829179.0,1413843.0
Jalaun,653430.0,421766.0
Jhansi,783705.0,520808.0
