District_name,LPG_CNG_Cooking_Fuel
Bangalore,1788912.0
Thane,1610460.0
Mumbai Suburban,1586946.0
Ahmadabad,965017.0
Chennai,910262.0
North Twenty Four Parganas,791267.0
Rangareddy,773246.0
Coimbatore,675153.0
Guntur,648568.0
Krishna,632890.0
North West,625662.0
Kolkata,623579.0
Kancheepuram,622095.0
Thiruvallur,621907.0
Nagpur,599780.0
Hyderabad,581509.0
Jaipur,570997.0
Nashik,536781.0
South,504898.0
Ghaziabad,501592.0
Ernakulam,499291.0
Visakhapatnam,495389.0
Mumbai,494883.0
Ludhiana,488757.0
East Godavari,479914.0
West,475985.0
Lucknow,469747.0
Tiruppur,463530.0
Salem,448968.0
West Godavari,435334.0
South West,423855.0
Kanpur Nagar,421694.0
Vellore,417535.0
Indore,417170.0
Vadodara,411734.0
Madurai,391821.0
Erode,371015.0
Rajkot,362140.0
Tirunelveli,361760.0
North East,356769.0
Raigarh,356048.0
Jalgaon,350029.0
Karimnagar,344667.0
Thiruvananthapuram,343590.0
Kolhapur,340318.0
Thrissur,338350.0
Tiruchirappalli,333478.0
East,327253.0
Haora,325053.0
Chittoor,324406.0
Patna,321307.0
Hugli,319815.0
Ahmadnagar,300116.0
Jalandhar,299449.0
Barddhaman,292585.0
Prakasam,290947.0
Bhopal,281442.0
Alappuzha,274392.0
Mysore,273706.0
Satara,271186.0
Aurangabad,270430.0
Namakkal,265276.0
Kollam,263148.0
Agra,251013.0
Solapur,248255.0
Cuddalore,244610.0
Gurdaspur,244468.0
Gurgaon,238359.0
Warangal,237349.0
Meerut,236071.0
Virudhunagar,235005.0
Dehradun,233705.0
Sri Potti Sriramulu Nellore,233623.0
South Twenty Four Parganas,232355.0
Nalgonda,228818.0
Viluppuram,228172.0
Sangli,227034.0
Kamrup Metropolitan,223368.0
Thanjavur,223044.0
Anantapur,223016.0
Khammam,219710.0
Bareilly,210687.0
Dindigul,209640.0
Y.S.R.,209532.0
Patiala,209192.0
Varanasi,202055.0
Hoshiarpur,201675.0
Thoothukkudi,200616.0
Jammu,197168.0
Kurnool,195001.0
Adilabad,194954.0
Gautam Buddha Nagar,193902.0
Jabalpur,192581.0
Kottayam,187213.0
Nizamabad,186740.0
Mahesana,180985.0
Moradabad,179473.0
Palakkad,178386.0
Tiruvannamalai,176242.0
Amravati,175917.0
Dakshina Kannada,175270.0
Chandrapur,172661.0
Ajmer,171799.0
Bhavnagar,171327.0
PONDICHERRY,170120.0
Chandigarh,168344.0
Nadia,168314.0
Kota,165563.0
Gwalior,165061.0
Ranchi,164237.0
Medak,163074.0
North,161067.0
Khordha,160277.0
Purbi Singhbhum,159644.0
Aligarh,153283.0
Krishnagiri,151246.0
Gorakhpur,149727.0
Saharanpur,149035.0
Kangra,148361.0
Muzaffarnagar,147785.0
Theni,147529.0
Anand,147122.0
Kozhikode,145558.0
Junagadh,144561.0
Nagapattinam,143846.0
Karnal,143133.0
Jamnagar,142974.0
Firozpur,141899.0
Darjiling,141897.0
Dharwad,140584.0
Vizianagaram,140361.0
Kachchh,140067.0
Malappuram,139994.0
Jalpaiguri,138522.0
Srinagar,138119.0
Valsad,137209.0
Mahbubnagar,136843.0
Karur,135831.0
Sangrur,135280.0
Yavatmal,134500.0
Gandhinagar,132683.0
North Goa,132612.0
Jhunjhunun,131987.0
Sahibzada Ajit Singh Nagar,131701.0
Sikar,131342.0
Durg,129193.0
Pathanamthitta,128889.0
Udaipur,128320.0
Shimoga,128087.0
Bijnor,128042.0
Dhule,126138.0
Hardwar,125717.0
Bulandshahr,124641.0
Ujjain,123526.0
Alwar,123478.0
Panipat,121846.0
Ambala,121622.0
Bharuch,121542.0
Ganjam,120191.0
Bathinda,118427.0
Tumkur,116539.0
Nanded,116284.0
Kannur,115356.0
Navsari,114620.0
Bellary,114040.0
Wardha,114029.0
Sivaganga,113822.0
Kapurthala,110555.0
Hisar,110495.0
Thiruvarur,109580.0
Yamunanagar,109080.0
Shimla,108888.0
Bikaner,108812.0
Mathura,107867.0
Akola,107463.0
Dharmapuri,104785.0
Buldana,103898.0
West Tripura,103228.0
Cuttack,103177.0
South Goa,102191.0
Central,101826.0
Firozabad,100919.0
Ratnagiri,100860.0
Davanagere,100812.0
Ramanathapuram,100484.0
Kheda,99982.0
Sabar Kantha,99037.0
Nainital,99021.0
Latur,96018.0
Pali,94821.0
Rohtak,94633.0
Jhansi,94342.0
Bhilwara,93768.0
Murshidabad,92742.0
Shahjahanpur,91958.0
Hassan,90599.0
Kurukshetra,90150.0
Moga,89445.0
Nagaon,89206.0
Bhiwani,88938.0
Ganganagar,88543.0
Uttara Kannada,88187.0
Muzaffarpur,87796.0
Kheri,86948.0
The Nilgiris,86277.0
Dhanbad,83995.0
Udupi,83810.0
Pudukkottai,82967.0
Bid,82098.0
Mandya,80452.0
Amreli,80378.0
Jind,78386.0
Surendranagar,77857.0
Bilaspur,77727.0
Sundargarh,77581.0
Bangalore Rural,77454.0
Gulbarga,77334.0
Dibrugarh,76292.0
Dhar,75637.0
Churu,74197.0
Kasaragod,74092.0
Sitapur,74072.0
Tarn Taran,73958.0
Chhindwara,73284.0
Kolar,72407.0
Jorhat,71639.0
Garhwal,70551.0
Sirsa,70538.0
Unnao,70484.0
Tinsukia,70471.0
Kamrup,70272.0
Jhajjar,70149.0
Sonitpur,70047.0
Sagar,68482.0
Ratlam,67830.0
Rupnagar,67749.0
Bokaro,67157.0
Patan,66310.0
Rae Bareli,65080.0
Shahid Bhagat Singh Nagar,64934.0
Aizawl,64710.0
Pratapgarh,64342.0
Budaun,62863.0
Kaithal,62668.0
Rewari,62667.0
Rampur,62281.0
Ballia,62157.0
Cachar,62135.0
Faridkot,62103.0
Imphal West,61736.0
Sivasagar,61450.0
Hoshangabad,61415.0
Bharatpur,61113.0
Hardoi,60689.0
Bara Banki,60554.0
Chitradurga,60522.0
Jalna,60219.0
Dewas,59521.0
Darbhanga,59510.0
Mandi,59324.0
Parbhani,59272.0
Farrukhabad,59209.0
Chittaurgarh,59190.0
Panch Mahals,59096.0
Bijapur,58890.0
Faizabad,58328.0
Gaya,57738.0
Birbhum,57010.0
Jaunpur,56508.0
Bhandara,55948.0
Purba Medinipur,55834.0
Satna,55196.0
Hamirpur,55153.0
Jyotiba Phule Nagar,55064.0
