District_name,Below_Primary_Education_Percent,Primary_Education_Percent,Middle_Education_Percent,Secondary_Education_Percent,Higher_Education_Percent,Graduate_Education_Percent,Other_Education_Percent
Kupwara,14.97,25.1,24.68,18.5,9.8,5.37,1.58
Badgam,18.22,21.56,22.17,17.72,11.03,7.45,1.83
Leh(Ladakh),13.84,20.11,23.71,21.55,11.82,8.21,0.76
Kargil,15.35,23.01,,,11.85,3.71,0.49
Punch,,,24.0,15.97,10.23,4.84,0.65
Rajouri,17.97,23.26,27.54,16.69,9.06,4.7,0.77
Kathua,16.27,19.39,24.95,21.46,11.18,5.7,1.06
Baramula,13.83,21.08,24.77,19.43,10.44,8.7,1.75
Bandipore,17.08,23.69,24.5,17.87,9.35,6.38,1.14
Srinagar,9.83,19.17,19.77,19.51,14.68,13.48,3.55
Ganderbal,16.34,24.51,24.28,17.88,9.5,6.1,1.4
Pulwama,,17.65,23.83,21.7,13.18,10.08,1.9
Shupiyan,17.54,19.61,24.48,18.96,10.93,7.14,1.33
Anantnag,,,,,,,
Kulgam,15.36,20.13,25.75,19.33,10.31,7.77,1.36
Doda,17.65,19.08,25.28,19.49,12.66,5.1,0.74
Ramban,23.15,24.05,23.93,15.4,9.09,,1.02
Kishtwar,20.77,21.31,23.03,16.23,12.05,4.51,2.1
Udhampur,17.71,24.23,26.0,16.64,8.97,5.24,1.22
Reasi,21.8,26.24,23.61,15.7,9.18,3.09,0.38
Jammu,11.54,15.85,21.61,22.32,13.58,12.49,2.61
Samba,12.2,17.26,25.09,25.71,12.77,5.88,1.09
Chamba,16.34,28.1,19.64,18.73,11.74,4.5,0.94
Kangra,10.86,20.71,18.97,24.15,16.4,7.76,1.15
Lahul AND Spiti,16.55,22.1,17.58,17.24,15.59,10.42,0.52
Kullu,15.59,24.93,19.93,18.73,12.59,,0.77
Mandi,13.1,20.83,17.31,23.6,16.84,7.09,1.22
Hamirpur,16.24,25.51,23.34,16.04,10.25,7.85,0.77
Una,12.21,20.71,,24.78,14.28,7.57,1.3
Bilaspur,21.86,21.32,20.47,13.29,10.38,8.37,1.2
Solan,11.89,21.12,19.84,22.49,14.02,8.69,1.96
Sirmaur,15.69,27.15,21.18,18.19,10.38,6.33,1.1
Shimla,11.22,18.2,,22.68,15.28,12.89,1.56
Kinnaur,15.82,23.14,19.25,18.75,13.24,8.61,1.2
Gurdaspur,11.83,20.61,19.01,24.35,15.93,6.82,
Kapurthala,12.46,22.07,19.6,22.39,13.46,8.38,1.65
Jalandhar,11.64,21.18,19.33,21.56,13.75,10.34,2.19
Hoshiarpur,11.72,20.87,19.47,24.56,14.34,,1.42
Shahid Bhagat Singh Nagar,11.79,24.42,20.7,22.39,13.53,5.9,1.25
Fatehgarh Sahib,12.0,23.65,19.41,21.99,13.78,8.09,1.07
Ludhiana,11.69,20.58,18.71,22.24,13.44,11.48,1.87
Moga,15.48,24.89,18.29,20.17,13.42,5.86,1.87
Firozpur,16.31,25.4,18.75,18.36,12.23,,2.13
Muktsar,16.58,25.25,18.71,19.23,11.5,6.78,
Faridkot,14.38,23.93,19.04,20.18,12.94,7.98,1.55
Bathinda,14.85,23.04,18.36,20.66,12.14,8.85,2.1
Mansa,,,,,,,
Patiala,,,,,,,
Amritsar,13.32,21.12,19.1,22.09,13.71,,1.07
Tarn Taran,16.48,25.55,18.25,22.8,12.84,3.29,0.78
Rupnagar,10.76,21.86,19.92,,13.96,7.88,1.91
Sahibzada Ajit Singh Nagar,11.8,18.96,17.22,21.14,13.87,15.12,1.88
Sangrur,15.48,23.79,18.77,20.89,12.34,6.98,1.74
Barnala,13.7,25.24,18.51,22.63,12.06,6.56,1.29
Chandigarh,10.99,16.22,15.61,17.05,13.5,23.86,2.76
Uttarkashi,,21.84,22.32,14.48,11.71,8.85,
Chamoli,16.18,23.34,23.03,16.27,11.1,9.27,0.81
Rudraprayag,16.0,26.32,23.35,15.14,11.06,7.9,
Tehri Garhwal,16.54,23.72,21.87,16.96,13.39,7.04,0.48
Dehradun,11.04,18.33,18.69,16.06,14.58,19.23,2.07
Garhwal,16.93,20.03,20.75,17.76,13.79,9.68,1.05
Pithoragarh,17.12,23.58,24.49,15.24,11.33,7.64,0.6
Bageshwar,19.07,23.91,25.19,15.63,10.4,5.45,0.34
Almora,,24.21,23.35,15.36,10.69,7.61,0.46
Champawat,19.18,,24.29,12.53,9.75,8.02,0.7
Nainital,12.73,,22.11,16.15,13.85,12.48,0.87
Udham Singh Nagar,,27.01,20.74,15.11,10.14,9.91,1.05
Hardwar,19.35,26.55,19.21,13.01,8.99,10.58,2.32
Panchkula,11.74,18.94,15.49,17.8,12.43,21.43,2.18
Ambala,11.29,,20.4,20.62,12.35,11.53,2.36
Yamunanagar,12.98,23.56,19.93,19.28,12.0,9.99,2.26
Kurukshetra,14.71,22.62,18.37,18.79,,11.05,1.71
Kaithal,18.02,23.89,18.82,17.77,12.42,7.7,1.38
Karnal,15.52,23.04,,18.28,12.43,10.1,1.91
Panipat,15.79,22.65,19.06,18.79,12.19,10.06,1.46
Sonipat,13.61,19.71,17.93,22.08,14.82,9.95,1.89
Jind,16.78,22.75,18.59,18.97,13.24,7.92,1.75
Fatehabad,19.09,25.2,18.43,17.24,11.33,6.96,
Sirsa,17.89,25.4,19.34,16.98,10.52,7.77,2.11
Hisar,18.04,21.04,,18.54,13.22,,1.74
Bhiwani,17.02,,18.13,19.99,13.62,9.59,1.26
Rohtak,14.49,18.67,17.42,20.84,13.56,12.41,2.61
Jhajjar,,17.51,,23.16,15.54,9.38,1.5
Mahendragarh,14.41,20.77,19.31,20.3,14.41,9.22,1.58
Rewari,12.8,19.03,19.3,21.99,,10.26,1.55
Gurgaon,11.29,,15.6,19.5,13.36,20.77,3.68
Mewat,30.52,33.09,16.4,10.19,5.42,3.03,1.35
Faridabad,10.56,16.87,15.2,21.64,13.69,19.9,2.13
Palwal,20.83,23.6,18.92,,10.95,7.27,1.39
North West,7.55,18.86,20.05,20.26,17.17,15.38,0.74
North,,19.76,21.07,18.61,14.42,15.8,1.64
North East,10.97,26.59,25.97,18.15,11.29,6.53,0.49
East,6.48,16.42,19.49,20.07,17.63,18.51,1.4
New Delhi,5.07,12.82,16.75,17.42,19.39,26.16,2.39
Central,7.69,18.25,21.82,,,18.09,1.37
West,7.75,15.66,18.0,18.16,16.09,21.66,2.67
South West,8.43,14.06,17.29,18.5,17.0,22.09,
South,8.49,16.34,17.75,19.06,15.69,20.33,2.33
Ganganagar,20.06,26.58,20.17,13.8,8.95,8.81,1.64
Hanumangarh,22.01,25.12,20.14,14.11,9.56,7.73,1.32
Bikaner,30.56,24.83,18.95,10.71,5.98,7.58,1.38
Churu,27.4,24.58,19.31,13.15,8.19,6.29,1.08
Jhunjhunun,19.27,19.89,19.64,,12.51,10.34,1.65
Alwar,21.78,21.79,20.71,14.32,10.18,9.84,1.39
Bharatpur,23.86,21.67,20.66,13.9,9.68,8.7,1.53
Dhaulpur,30.42,25.34,19.48,11.34,6.68,5.55,1.2
Karauli,,,,,,,
Sawai Madhopur,27.04,22.76,19.89,11.5,7.59,9.33,1.89
Dausa,,23.42,20.74,,9.21,9.03,1.37
Jaipur,,,,,,,
Sikar,,,,,,,
Nagaur,26.89,25.44,20.35,12.67,7.73,6.15,0.78
Jodhpur,24.44,25.14,19.89,12.73,7.6,8.7,1.51
Jaisalmer,40.99,26.63,15.45,7.54,4.78,3.97,
Barmer,,,,,,,
Jalor,31.13,31.84,20.87,8.65,3.72,2.9,0.9
Sirohi,23.74,29.65,22.21,11.71,6.18,5.45,1.06
Pali,24.14,29.53,22.29,11.88,5.87,5.51,0.77
Ajmer,23.41,24.37,19.38,12.37,8.07,10.67,1.74
Tonk,29.06,23.37,18.97,11.25,7.89,8.23,1.22
Bundi,26.2,27.18,20.67,10.8,7.04,7.01,1.1
Bhilwara,29.6,,19.21,10.48,6.88,7.91,0.81
Rajsamand,28.19,28.23,20.88,10.82,6.09,5.08,0.7
Dungarpur,35.34,25.9,16.9,8.97,6.35,5.82,0.72
Banswara,32.06,25.41,18.4,10.02,6.74,6.29,1.09
Chittaurgarh,28.27,25.98,19.62,10.46,6.69,7.73,1.24
Kota,,22.35,18.98,13.09,9.01,12.73,2.09
Baran,28.15,26.85,19.95,10.54,6.48,6.91,1.11
Jhalawar,30.3,27.21,19.14,,6.19,6.42,0.93
Udaipur,28.85,25.14,,10.7,,9.29,
Pratapgarh,21.64,25.42,20.03,1.34,9.86,8.24,0.84
Saharanpur,22.68,,,12.27,7.82,7.37,0.48
Muzaffarnagar,30.91,29.19,,10.54,5.56,3.69,0.21
Bijnor,20.34,33.73,22.4,10.39,6.5,6.04,0.6
Moradabad,24.98,28.48,19.34,11.64,7.32,7.33,0.92
Rampur,27.61,,16.98,8.44,5.13,4.35,0.31
Jyotiba Phule Nagar,,28.6,18.69,13.07,13.35,5.64,0.24
Meerut,17.9,21.53,20.38,15.63,11.04,11.94,1.57
Baghpat,15.74,30.76,24.24,14.9,8.96,4.98,0.42
Ghaziabad,15.08,24.21,22.49,16.86,13.41,7.22,0.74
Gautam Buddha Nagar,15.08,,21.2,16.37,14.59,7.61,0.38
Bulandshahr,20.31,24.75,21.75,15.48,9.97,6.92,
Aligarh,21.38,23.0,,15.66,,8.08,0.96
Mahamaya Nagar,17.12,28.05,25.45,15.74,8.44,4.7,0.51
Mathura,19.3,26.78,21.95,14.84,9.92,6.56,0.65
Agra,19.13,28.8,20.61,14.34,10.11,6.35,0.66
Firozabad,19.4,24.88,22.05,16.57,9.94,6.49,0.68
Mainpuri,16.69,25.12,22.69,16.41,10.28,7.94,0.87
Budaun,31.78,33.44,16.91,8.82,4.96,3.67,0.42
Bareilly,29.78,26.61,18.35,11.32,7.16,6.08,0.7
Pilibhit,27.07,25.87,22.09,10.84,7.14,6.09,0.89
Shahjahanpur,28.32,29.86,19.81,9.94,6.04,5.48,0.56
Kheri,31.54,27.33,19.47,9.83,5.7,5.65,0.48
Sitapur,30.43,27.96,20.54,9.45,5.81,5.44,0.37
Hardoi,27.91,34.12,19.21,9.3,5.21,3.9,0.34
Unnao,26.18,26.78,21.68,12.53,7.14,5.32,0.37
Lucknow,15.83,17.91,17.84,13.83,12.24,20.66,1.68
Rae Bareli,24.81,24.7,21.92,12.43,8.39,7.02,0.72
Farrukhabad,21.19,25.85,20.15,,9.01,8.64,0.73
Kannauj,20.32,24.23,22.53,15.0,9.19,8.12,
Etawah,14.14,24.18,24.66,16.12,10.01,9.79,1.11
Auraiya,12.52,27.44,,,9.55,,0.61
Kanpur Dehat,16.73,24.52,,15.89,11.17,6.95,0.42
Kanpur Nagar,9.7,21.97,22.77,18.66,14.78,11.36,0.77
Jalaun,14.47,28.0,24.19,14.36,8.95,9.14,0.89
Jhansi,14.37,28.79,26.51,14.47,7.75,7.19,0.92
Lalitpur,27.52,30.06,22.85,,4.78,,0.52
Mahoba,22.6,26.81,24.9,11.47,6.42,7.06,0.75
Banda,,33.6,20.17,9.29,4.99,5.11,0.46
Chitrakoot,27.34,28.25,20.16,11.3,6.53,5.81,0.59
Fatehpur,23.58,26.67,,13.07,7.73,6.7,0.59
Kaushambi,20.35,28.05,19.98,16.21,9.83,5.01,0.57
Allahabad,20.28,23.02,18.17,14.69,12.38,10.56,0.91
Bara Banki,30.28,23.9,19.91,11.23,7.52,6.46,0.7
Faizabad,21.31,21.61,20.78,13.83,10.55,10.77,1.13
Ambedkar Nagar,19.94,22.86,20.57,14.37,10.06,11.31,0.9
Sultanpur,19.92,27.57,22.8,13.24,8.17,7.63,0.66
Bahraich,,35.73,15.63,7.58,4.71,3.45,0.51
Shrawasti,41.45,25.87,,7.87,5.26,4.17,0.41
Balrampur,43.29,26.02,14.03,7.48,4.64,4.24,0.32
Gonda,36.21,22.72,16.32,10.29,7.69,6.31,0.47
Siddharthnagar,46.12,,13.92,7.5,5.01,3.85,0.72
Basti,28.08,20.85,19.35,12.63,9.73,,0.78
Sant Kabir Nagar,30.34,,18.28,11.49,7.68,5.64,0.79
Mahrajganj,28.99,24.67,19.57,11.77,,6.09,0.71
Gorakhpur,28.13,19.92,18.05,13.72,10.19,8.82,1.17
Kushinagar,38.37,19.48,16.85,11.43,7.84,5.49,0.55
Deoria,25.18,19.78,18.79,15.55,11.6,8.12,0.98
Azamgarh,20.67,33.41,21.86,12.15,7.77,3.93,0.2
Mau,20.17,24.04,18.77,15.03,12.26,8.81,0.92
Ballia,18.57,21.93,18.88,17.44,13.78,8.54,0.86
Jaunpur,18.84,26.61,21.8,14.73,10.03,,0.73
Ghazipur,20.2,24.65,20.09,16.05,11.91,6.64,0.46
Chandauli,21.63,26.87,20.22,14.34,9.94,6.45,0.55
Varanasi,17.02,22.12,20.27,16.3,12.78,10.25,1.27
Sant Ravidas Nagar (Bhadohi),,,,,,,
Mirzapur,,24.93,20.12,13.73,10.47,8.32,1.05
Sonbhadra,28.03,27.2,19.45,11.06,7.56,5.84,0.86
Etah,22.69,20.41,19.26,17.01,11.41,8.45,0.77
Kanshiram Nagar,31.17,23.48,18.24,13.18,,5.84,0.6
Pashchim Champaran,48.27,24.92,11.46,7.31,4.52,3.24,0.28
Purba Champaran,40.65,31.18,14.3,7.65,3.86,2.18,0.16
Sheohar,41.49,29.54,11.99,8.3,5.19,3.27,0.21
Sitamarhi,44.83,,12.0,8.34,5.67,4.31,0.73
Madhubani,29.04,28.58,19.3,11.23,6.32,5.1,0.42
Supaul,41.91,24.17,14.14,8.92,6.24,4.1,0.52
Araria,42.09,28.71,13.88,7.6,4.59,2.67,0.47
Kishanganj,46.34,30.66,11.57,5.56,3.38,,0.49
Purnia,44.97,24.23,12.4,8.02,5.6,4.04,0.75
Katihar,32.7,30.74,16.41,9.26,6.12,3.95,
Madhepura,38.93,21.64,13.08,11.36,9.13,5.13,0.74
Saharsa,40.73,22.79,12.18,10.55,7.55,5.5,0.7
Darbhanga,33.17,24.18,16.39,11.07,7.52,6.39,1.29
Muzaffarpur,37.64,25.61,14.44,10.31,6.71,4.78,0.5
Gopalganj,31.12,27.11,16.79,12.88,7.1,4.55,0.44
Siwan,,,,,,,
Saran,29.92,26.13,16.35,,,5.58,0.37
Vaishali,35.67,21.47,16.3,12.83,7.85,5.48,0.4
Samastipur,30.63,27.86,17.21,11.14,7.3,5.1,0.75
Begusarai,31.7,26.59,16.02,11.37,7.94,5.59,0.8
Khagaria,37.89,25.24,14.05,10.87,7.13,4.18,0.65
Bhagalpur,31.1,26.53,15.22,12.5,7.82,6.01,0.82
Banka,33.61,31.84,16.16,9.93,5.2,2.94,0.32
Munger,26.68,18.68,17.23,17.32,11.99,7.59,0.52
Lakhisarai,28.78,24.97,18.68,,8.03,4.56,0.64
Sheikhpura,31.66,26.99,14.54,,8.27,4.8,0.83
Nalanda,29.32,24.49,16.16,13.83,8.93,,0.56
Patna,25.3,22.27,18.7,14.19,9.42,9.19,0.94
Bhojpur,26.77,27.86,16.9,14.43,7.52,6.04,0.49
Buxar,24.67,31.25,19.05,13.24,6.64,4.77,0.39
Kaimur (Bhabua),28.01,25.9,18.52,12.94,7.62,6.16,0.84
Rohtas,24.45,25.08,18.23,15.22,8.91,7.38,0.73
Aurangabad,51.32,63.71,39.57,43.13,24.4,18.79,1.5
Gaya,32.4,27.21,16.07,,6.89,4.71,0.43
Nawada,40.35,24.75,13.1,10.82,6.44,4.34,0.21
Jamui,38.74,29.26,14.18,9.6,5.17,2.73,0.32
