District_name,Total_House_with_Car,Total_House_with_Bicycle,Total_House_with_Motorcycle
Kupwara,2988.0,3019.0,1808.0
Badgam,5091.0,10013.0,5848.0
Leh(Ladakh),4271.0,609.0,1289.0
Kargil,1847.0,488.0,652.0
Punch,,846.0,2407.0
Rajouri,3128.0,2203.0,7261.0
Kathua,4687.0,17726.0,23014.0
Baramula,10075.0,13361.0,8145.0
Bandipore,2237.0,5645.0,2284.0
Srinagar,34586.0,44501.0,39804.0
Ganderbal,2313.0,6005.0,2709.0
Pulwama,6164.0,5479.0,4551.0
Shupiyan,,1636.0,4656.0
Anantnag,7846.0,6295.0,
Kulgam,2421.0,1853.0,3318.0
Doda,1804.0,563.0,
Ramban,958.0,214.0,612.0
Kishtwar,850.0,439.0,1533.0
Udhampur,3800.0,3948.0,8953.0
Reasi,,1340.0,3551.0
Jammu,44063.0,68272.0,113156.0
Samba,4093.0,13653.0,17664.0
Chamba,5074.0,1657.0,8880.0
Kangra,22727.0,38456.0,
Lahul AND Spiti,536.0,108.0,564.0
Kullu,8479.0,2450.0,6979.0
Mandi,15958.0,10927.0,26366.0
Hamirpur,10456.0,106334.0,41477.0
Una,8059.0,41378.0,36913.0
Bilaspur,19710.0,351176.0,96248.0
Solan,15117.0,12426.0,25275.0
Sirmaur,7459.0,16691.0,17523.0
Shimla,23107.0,2813.0,
Kinnaur,2775.0,190.0,857.0
Gurdaspur,32484.0,280874.0,194705.0
Kapurthala,23561.0,107044.0,90508.0
Jalandhar,72374.0,286365.0,238203.0
Hoshiarpur,33720.0,227316.0,166862.0
Shahid Bhagat Singh Nagar,14456.0,91772.0,64143.0
Fatehgarh Sahib,18239.0,84834.0,63700.0
Ludhiana,120172.0,461137.0,360662.0
Moga,26253.0,140084.0,85167.0
Firozpur,37105.0,237901.0,148610.0
Muktsar,,109666.0,62205.0
Faridkot,15528.0,82761.0,51638.0
Bathinda,36173.0,176384.0,106010.0
Mansa,12805.0,90845.0,48117.0
Patiala,57008.0,,193945.0
Amritsar,56185.0,286368.0,225063.0
Tarn Taran,15885.0,134781.0,86013.0
Rupnagar,17248.0,95548.0,72313.0
Sahibzada Ajit Singh Nagar,49154.0,118842.0,112529.0
Sangrur,35264.0,240629.0,
Barnala,12912.0,83685.0,49472.0
Chandigarh,60494.0,135055.0,
Uttarkashi,1637.0,1353.0,4046.0
Chamoli,2516.0,861.0,2311.0
Rudraprayag,,432.0,1529.0
Tehri Garhwal,4324.0,3876.0,9697.0
Dehradun,48070.0,129863.0,152009.0
Garhwal,4874.0,13681.0,15468.0
Pithoragarh,3008.0,1600.0,6136.0
Bageshwar,1149.0,975.0,
Almora,3396.0,2673.0,6719.0
Champawat,1387.0,7523.0,5151.0
Nainital,13800.0,57123.0,49145.0
Udham Singh Nagar,16841.0,,88369.0
Hardwar,21893.0,210338.0,
Panchkula,29497.0,42737.0,49972.0
Ambala,26122.0,133676.0,92424.0
Yamunanagar,20791.0,148002.0,87959.0
Kurukshetra,20261.0,107683.0,73765.0
Kaithal,12792.0,95704.0,59238.0
Karnal,26238.0,143754.0,108101.0
Panipat,17466.0,90548.0,74923.0
Sonipat,22367.0,119029.0,84519.0
Jind,15836.0,113068.0,61694.0
Fatehabad,14030.0,86268.0,52633.0
Sirsa,24468.0,117760.0,75692.0
Hisar,24642.0,147721.0,90721.0
Bhiwani,,99232.0,66069.0
Rohtak,16545.0,91682.0,63575.0
Jhajjar,14298.0,69952.0,52868.0
Mahendragarh,8538.0,54810.0,45775.0
Rewari,12161.0,71366.0,58897.0
Gurgaon,92934.0,103261.0,131478.0
Mewat,6220.0,37702.0,33748.0
Faridabad,63470.0,,152884.0
Palwal,10185.0,67580.0,55825.0
North West,152362.0,235402.0,263624.0
North,25574.0,45555.0,63424.0
North East,37482.0,143358.0,152678.0
East,87499.0,103064.0,162670.0
New Delhi,7248.0,11029.0,10268.0
Central,21001.0,17214.0,39119.0
West,134587.0,150955.0,218843.0
South West,105425.0,164362.0,183150.0
South,121101.0,151260.0,
Ganganagar,21515.0,149905.0,85320.0
Hanumangarh,16537.0,93418.0,56973.0
Bikaner,17113.0,97914.0,68379.0
Churu,9938.0,46531.0,27698.0
Jhunjhunun,15861.0,74695.0,59920.0
Alwar,30207.0,242678.0,179435.0
Bharatpur,10349.0,152915.0,99846.0
Dhaulpur,3614.0,80614.0,31120.0
Karauli,3820.0,52008.0,35486.0
Sawai Madhopur,4398.0,66594.0,41953.0
Dausa,6664.0,84799.0,62106.0
Jaipur,142866.0,393025.0,523398.0
Sikar,22494.0,76325.0,77340.0
Nagaur,26150.0,90046.0,94315.0
Jodhpur,40768.0,193641.0,197296.0
Jaisalmer,5218.0,11291.0,11355.0
Barmer,27009.0,47366.0,39804.0
Jalor,12367.0,37596.0,34799.0
Sirohi,6343.0,52893.0,38817.0
Pali,14175.0,175945.0,
Ajmer,24509.0,187324.0,175460.0
Tonk,6295.0,93547.0,68174.0
Bundi,5787.0,86810.0,58255.0
Bhilwara,17508.0,212245.0,150972.0
Rajsamand,7060.0,65503.0,62714.0
Dungarpur,4385.0,18435.0,34909.0
Banswara,5287.0,39865.0,45930.0
Chittaurgarh,,173375.0,103489.0
Kota,24848.0,150716.0,147206.0
Baran,5741.0,61129.0,59954.0
Jhalawar,5385.0,81160.0,56052.0
Udaipur,27979.0,145780.0,157259.0
Pratapgarh,18584.0,509744.0,136288.0
Saharanpur,21310.0,365960.0,151620.0
Muzaffarnagar,,377807.0,145278.0
Bijnor,17143.0,378636.0,131278.0
Moradabad,19316.0,399563.0,148802.0
Rampur,,247366.0,73261.0
Jyotiba Phule Nagar,7361.0,167023.0,63056.0
Meerut,,331961.0,186553.0
Baghpat,13301.0,114603.0,42998.0
Ghaziabad,119441.0,409265.0,292502.0
Gautam Buddha Nagar,78631.0,128362.0,124939.0
Bulandshahr,20979.0,321044.0,
Aligarh,21667.0,364661.0,151973.0
Mahamaya Nagar,6691.0,175072.0,61172.0
Mathura,16580.0,212964.0,124260.0
Agra,44989.0,,243761.0
Firozabad,10940.0,278168.0,85413.0
Mainpuri,7361.0,216358.0,53444.0
Budaun,9654.0,303758.0,69930.0
Bareilly,24436.0,456654.0,159838.0
Pilibhit,7560.0,242225.0,55738.0
Shahjahanpur,9927.0,333199.0,73581.0
Kheri,11395.0,486903.0,94806.0
Sitapur,11679.0,575384.0,88916.0
Hardoi,12396.0,494925.0,82094.0
Unnao,10191.0,417537.0,79130.0
Lucknow,90205.0,539667.0,337254.0
Rae Bareli,13483.0,509053.0,94437.0
Farrukhabad,6765.0,204261.0,49592.0
Kannauj,6011.0,178143.0,37935.0
Etawah,7736.0,194564.0,
Auraiya,5088.0,179939.0,35729.0
Kanpur Dehat,12752.0,220794.0,40159.0
Kanpur Nagar,51177.0,518736.0,249207.0
Jalaun,7009.0,162840.0,58169.0
Jhansi,18860.0,194290.0,94539.0
Lalitpur,5511.0,118185.0,36718.0
Mahoba,5755.0,85723.0,
Banda,5202.0,183817.0,
Chitrakoot,2805.0,105264.0,17911.0
Fatehpur,16758.0,331499.0,59754.0
Kaushambi,4403.0,210669.0,35502.0
Allahabad,41965.0,701941.0,243219.0
Bara Banki,11935.0,446335.0,91664.0
Faizabad,15426.0,346448.0,74081.0
Ambedkar Nagar,9813.0,311614.0,60203.0
Sultanpur,18382.0,,104307.0
Bahraich,13451.0,397685.0,51784.0
Shrawasti,2286.0,134274.0,16069.0
Balrampur,6167.0,232350.0,37816.0
Gonda,,417980.0,75067.0
Siddharthnagar,9664.0,282280.0,52801.0
Basti,11477.0,309655.0,66316.0
Sant Kabir Nagar,6778.0,201340.0,
Mahrajganj,9050.0,,52155.0
Gorakhpur,30258.0,531565.0,157765.0
Kushinagar,12849.0,432174.0,
Deoria,13388.0,353180.0,84941.0
Azamgarh,20757.0,521004.0,116175.0
Mau,7411.0,228921.0,47576.0
Ballia,10846.0,324245.0,65467.0
Jaunpur,22876.0,534790.0,128471.0
Ghazipur,21169.0,383511.0,78218.0
Chandauli,7313.0,220298.0,49064.0
Varanasi,24216.0,412569.0,157861.0
Sant Ravidas Nagar (Bhadohi),6910.0,,
Mirzapur,10205.0,309079.0,63155.0
Sonbhadra,10279.0,203774.0,50700.0
Etah,6644.0,189111.0,
Kanshiram Nagar,3854.0,142975.0,30712.0
Pashchim Champaran,10911.0,425249.0,48435.0
Purba Champaran,19282.0,,78531.0
Sheohar,1410.0,73447.0,7678.0
Sitamarhi,7292.0,317432.0,38576.0
Madhubani,11636.0,416574.0,59254.0
Supaul,4064.0,192734.0,21885.0
Araria,5041.0,279254.0,31983.0
Kishanganj,2436.0,177516.0,19539.0
Purnia,8390.0,291919.0,
Katihar,5118.0,285976.0,
Madhepura,4560.0,169936.0,21254.0
Saharsa,3824.0,129847.0,20489.0
Darbhanga,10325.0,320695.0,52586.0
Muzaffarpur,23333.0,548802.0,94249.0
Gopalganj,9508.0,312727.0,51902.0
Siwan,10891.0,382782.0,64065.0
Saran,10948.0,431759.0,68604.0
Vaishali,11316.0,,60246.0
Samastipur,10621.0,458268.0,56464.0
Begusarai,9821.0,295852.0,41377.0
Khagaria,3120.0,99898.0,14047.0
Bhagalpur,8644.0,220531.0,47618.0
Banka,3258.0,159201.0,24398.0
Munger,3755.0,112707.0,
Lakhisarai,2415.0,49052.0,
Sheikhpura,1728.0,33652.0,6933.0
Nalanda,7955.0,121583.0,29239.0
Patna,49821.0,430595.0,176114.0
Bhojpur,7391.0,206776.0,43689.0
Buxar,5341.0,137996.0,26325.0
Kaimur (Bhabua),6503.0,111045.0,22998.0
Rohtas,10819.0,224824.0,49892.0
Aurangabad,40467.0,387328.0,230188.0
Gaya,11827.0,294227.0,59202.0
Nawada,3991.0,75606.0,15948.0
Jamui,4842.0,113424.0,18411.0
Jehanabad,2522.0,69637.0,13682.0
Arwal,1386.0,55439.0,7667.0
North  District,638.0,62.0,239.0
West District,1379.0,131.0,641.0
South District,2026.0,208.0,759.0
East District,6556.0,734.0,1991.0
Tawang,895.0,105.0,205.0
West Kameng,1299.0,348.0,1045.0
East Kameng,577.0,755.0,1382.0
Papum Pare,6454.0,3898.0,8668.0
Upper Subansiri,569.0,782.0,1435.0
West Siang,1964.0,2129.0,4023.0
East Siang,2072.0,6380.0,4568.0
Upper Siang,430.0,136.0,1031.0
Changlang,1102.0,13306.0,2450.0
Tirap,,,1369.0
Lower Subansiri,2002.0,1063.0,2973.0
Kurung Kumey,605.0,,884.0
Dibang Valley,96.0,46.0,283.0
Lower Dibang Valley,703.0,4410.0,2128.0
Lohit,1203.0,16426.0,3884.0
Anjaw,79.0,51.0,363.0
Mon,1007.0,2148.0,1571.0
Mokokchung,3805.0,2132.0,5184.0
Zunheboto,2258.0,713.0,1033.0
Wokha,1592.0,2907.0,1713.0
Dimapur,,18820.0,10821.0
Phek,1780.0,,838.0
Tuensang,1063.0,355.0,738.0
Longleng,303.0,253.0,369.0
Kiphire,239.0,103.0,172.0
