State/UT,Total_Household
Uttar Pradesh,25714904.0
Bihar,14138639.0
West Bengal,13284695.0
Maharashtra,13187192.0
Tamil Nadu,11070800.0
Madhya Pradesh,10407389.0
Rajasthan,8657234.0
Andhra Pradesh,8605405.0
Gujarat,8072201.0
Karnataka,8062960.0
Orissa,6523779.0
Telangana,5315002.0
Kerala,5274093.0
Assam,4623355.0
Jharkhand,4621914.0
Chhattisgarh,4270458.0
Punjab,3488583.0
Haryana,3354451.0
Nct Of Delhi,2222131.0
Jammu and Kashmir,1566458.0
Uttarakhand,1508302.0
Himachal Pradesh,1032781.0
Tripura,604316.0
Meghalaya,451754.0
Manipur,402369.0
Nagaland,305224.0
Goa,235502.0
Arunachal Pradesh,211868.0
Pondicherry,201901.0
Chandigarh,171021.0
Mizoram,170760.0
Sikkim,99992.0
Andaman and Nicobar Islands,66900.0
Dadra and Nagar Haveli,57218.0
Daman and Diu,37169.0
Ladakh,32915.0
Lakshadweep,9133.0
