State/UT,Total_Latrine_Inside_Premises
Maharashtra,12482270.0
West Bengal,11543128.0
Uttar Pradesh,10675853.0
Tamil Nadu,8930581.0
Kerala,7345977.0
Gujarat,6985686.0
Karnataka,6678942.0
Andhra Pradesh,5862065.0
Rajasthan,4399688.0
Punjab,4289132.0
Madhya Pradesh,4256431.0
Bihar,4055230.0
Assam,4034999.0
Haryana,3237942.0
Telangana,3031593.0
Nct Of Delhi,2990741.0
Orissa,1902175.0
Chhattisgarh,1365235.0
Jharkhand,1319105.0
Uttarakhand,1289277.0
Himachal Pradesh,1020523.0
Jammu and Kashmir,994868.0
Tripura,725092.0
Manipur,452865.0
Meghalaya,308354.0
Nagaland,306068.0
Goa,257338.0
Pondicherry,206221.0
Chandigarh,206017.0
Mizoram,203185.0
Arunachal Pradesh,150381.0
Sikkim,111734.0
Andaman and Nicobar Islands,65450.0
Daman and Diu,47233.0
Dadra and Nagar Haveli,39999.0
Ladakh,36429.0
Lakshadweep,10467.0
