State/UT,Total_Owned_Household,Total_Rented_Household
Jammu and Kashmir,1913232.0,40141.0
Ladakh,36033.0,2312.0
Himachal Pradesh,1274011.0,152194.0
Punjab,4807947.0,462677.0
Chandigarh,112043.0,110377.0
Uttarakhand,1655435.0,247492.0
Haryana,3797502.0,450538.0
Nct Of Delhi,1923654.0,941459.0
Rajasthan,11165211.0,608144.0
Uttar Pradesh,28177442.0,1340884.0
Bihar,17916539.0,387917.0
Sikkim,82619.0,36643.0
Arunachal Pradesh,162260.0,57566.0
Nagaland,295232.0,85389.0
Manipur,474799.0,23907.0
Mizoram,134099.0,70292.0
Tripura,774211.0,40266.0
Meghalaya,441123.0,77900.0
Assam,5282977.0,429744.0
West Bengal,17105173.0,1358679.0
Jharkhand,5324633.0,473942.0
Orissa,8486392.0,632278.0
Chhattisgarh,4924070.0,366686.0
Madhya Pradesh,12832938.0,939682.0
Gujarat,9942960.0,1448007.0
Daman and Diu,23100.0,35416.0
Dadra and Nagar Haveli,40607.0,31255.0
Maharashtra,19331240.0,3659054.0
Telangana,6579957.0,1711696.0
Andhra Pradesh,9918583.0,2434523.0
Karnataka,9569461.0,1638731.0
Goa,145651.0,56191.0
Lakshadweep,8934.0,1582.0
Kerala,6420649.0,563891.0
Tamil Nadu,12482596.0,4321071.0
Pondicherry,195610.0,93807.0
Andaman and Nicobar Islands,53527.0,30123.0
