State/UT,Water_Source_Near_Premises
Uttar Pradesh,11530100.0
Tamil Nadu,10369066.0
Bihar,6655019.0
West Bengal,6449348.0
Madhya Pradesh,6340244.0
Maharashtra,6161790.0
Andhra Pradesh,5644112.0
Karnataka,4919991.0
Rajasthan,4563991.0
Orissa,3876699.0
Gujarat,2867196.0
Chhattisgarh,2836601.0
Jharkhand,2778252.0
Telangana,2190353.0
Assam,1647954.0
Kerala,1014289.0
Haryana,976415.0
Uttarakhand,531104.0
Punjab,518122.0
Nct Of Delhi,514341.0
Himachal Pradesh,506266.0
Jammu and Kashmir,501658.0
Manipur,234183.0
Meghalaya,211843.0
Nagaland,169448.0
Tripura,158748.0
Mizoram,103156.0
Arunachal Pradesh,97755.0
Pondicherry,64236.0
Goa,49955.0
Sikkim,38007.0
Chandigarh,27384.0
Dadra and Nagar Haveli,26605.0
Andaman and Nicobar Islands,25198.0
Ladakh,20180.0
Daman and Diu,13363.0
Lakshadweep,1534.0
