State/UT,Percentage_Married_1_HH,Percentage_Married_2_HH,Percentage_Married_3_HH,Percentage_Married_3_Plus_HH,Percentage_Married_4_HH,Percentage_Married_5_HH,Percentage_Married_None_HH
Jammu and Kashmir,68.75,12.47,1.93,2.35,0.37,0.07,9.1
Ladakh,39.07,12.39,3.33,4.19,0.67,0.19,10.27
Himachal Pradesh,45.65,11.69,2.23,2.58,0.3,0.05,11.44
Punjab,49.52,14.16,3.26,5.53,0.49,0.09,7.89
Chandigarh,38.76,5.74,1.16,1.35,0.16,0.03,10.22
Uttarakhand,46.25,9.57,1.91,2.9,0.25,0.07,11.13
Haryana,52.47,13.83,4.07,8.19,0.7,0.15,7.76
Nct Of Delhi,46.38,9.47,2.3,2.8,0.41,0.09,8.09
Rajasthan,56.11,14.94,4.75,6.15,1.08,0.32,7.04
Uttar Pradesh,49.43,15.25,4.85,9.03,1.44,0.61,7.12
Bihar,53.88,11.38,3.14,4.5,0.96,0.41,6.08
Sikkim,42.05,6.44,0.86,1.01,0.12,0.03,9.41
Arunachal Pradesh,51.84,7.14,1.07,1.32,0.19,0.06,11.59
Nagaland,63.78,2.66,0.33,0.96,0.05,0.01,15.25
Manipur,43.25,7.07,0.8,0.91,0.12,0.02,6.11
Mizoram,45.17,5.84,0.57,0.63,0.05,0.01,12.92
Tripura,42.58,5.63,0.62,0.69,0.07,0.01,6.51
Meghalaya,51.61,7.45,0.89,2.78,0.17,0.04,12.24
Assam,50.64,7.5,1.29,2.54,0.23,0.06,8.6
West Bengal,45.83,7.94,1.48,2.81,0.26,0.06,7.23
Jharkhand,50.51,11.72,2.77,3.62,0.66,0.19,7.99
Orissa,53.92,7.38,1.14,1.81,0.22,0.06,8.41
Chhattisgarh,45.78,7.71,1.45,1.79,0.27,0.07,8.11
Madhya Pradesh,55.33,10.53,2.2,2.63,0.42,0.12,8.26
Gujarat,48.27,12.65,2.93,4.19,0.42,0.08,8.19
Daman and Diu,36.46,3.72,0.29,6.37,0.2,0.04,24.51
Dadra and Nagar Haveli,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maharashtra,51.06,11.4,2.55,3.01,0.42,0.09,10.49
Telangana,57.94,7.73,1.02,1.21,0.15,0.03,9.4
Andhra Pradesh,43.37,5.17,0.55,0.52,0.06,0.01,8.12
Karnataka,49.94,9.03,2.01,2.8,0.39,0.11,9.77
Goa,84.92,12.51,2.62,3.21,0.48,0.11,11.25
Lakshadweep,39.52,5.37,1.69,2.57,0.52,0.36,19.34
Kerala,40.46,8.14,1.38,1.63,0.21,0.04,8.69
Tamil Nadu,49.01,6.67,0.67,1.17,0.07,0.01,8.83
Pondicherry,42.67,5.51,0.8,9.46,0.12,0.02,7.69
Andaman and Nicobar Islands,55.44,5.92,1.0,1.17,0.14,0.02,13.54
