State/UT,Sum_of_Household_below_Poverty
Jammu and Kashmir,3035.0
Ladakh,72.0
Himachal Pradesh,1922.0
Punjab,3017.0
Chandigarh,893.0
Uttarakhand,1584.0
Haryana,1953.0
Nct Of Delhi,4624.0
Rajasthan,9531.0
Uttar Pradesh,37067.0
Bihar,21644.0
Sikkim,142.0
Arunachal Pradesh,880.0
Nagaland,360.0
Manipur,716.0
Mizoram,175.0
Tripura,671.0
Meghalaya,503.0
Assam,1458.0
West Bengal,18439.0
Jharkhand,7828.0
Orissa,11752.0
Chhattisgarh,5857.0
Madhya Pradesh,16130.0
Gujarat,7077.0
Daman and Diu,1786.0
Dadra and Nagar Haveli,431.0
Maharashtra,14827.0
Telangana,7963.0
Andhra Pradesh,9838.0
Karnataka,11213.0
Goa,209.0
Lakshadweep,104.0
Kerala,8054.0
Tamil Nadu,12217.0
Pondicherry,1937.0
Andaman and Nicobar Islands,1879.0
