District_name,Male_Worker_Percentage,Female_Worker_Percentage
Kupwara,83.34,16.66
Badgam,75.66,24.34
Leh(Ladakh),70.95,29.05
Kargil,76.8,23.2
Punch,72.91,27.09
Rajouri,63.51,36.49
Kathua,80.6,19.4
Baramula,82.05,17.95
Bandipore,67.9,32.1
Srinagar,81.82,18.18
Ganderbal,72.66,27.34
Pulwama,73.47,26.53
Shupiyan,72.88,27.12
Anantnag,62.62,37.38
Kulgam,63.95,36.05
Doda,66.58,33.42
Ramban,78.52,21.48
Kishtwar,68.43,31.57
Udhampur,67.24,32.76
Reasi,61.31,38.69
Jammu,82.08,17.92
Samba,88.57,11.43
Chamba,54.0,46.0
Kangra,59.8,40.2
Lahul AND Spiti,55.78,44.22
Kullu,55.31,44.69
Mandi,51.94,48.06
Hamirpur,62.32,37.68
Una,65.76,34.24
Bilaspur,58.69,41.31
Solan,63.6,36.4
Sirmaur,60.48,39.52
Shimla,60.02,39.98
Kinnaur,60.18,39.82
Gurdaspur,84.22,15.78
Kapurthala,82.9,17.1
Jalandhar,82.57,17.43
Hoshiarpur,82.53,17.47
Shahid Bhagat Singh Nagar,83.32,16.68
Fatehgarh Sahib,85.1,14.9
Ludhiana,82.0,18.0
Moga,81.4,18.6
Firozpur,78.82,21.18
Muktsar,81.32,18.68
Faridkot,83.52,16.48
Bathinda,78.73,21.27
Mansa,70.24,29.76
Patiala,83.25,16.75
Amritsar,80.1,19.9
Tarn Taran,82.38,17.62
Rupnagar,79.99,20.01
Sahibzada Ajit Singh Nagar,79.6,20.4
Sangrur,85.3,14.7
Barnala,85.11,14.89
Chandigarh,81.2,18.8
Uttarkashi,53.58,46.42
Chamoli,51.86,48.14
Rudraprayag,46.3,53.7
Tehri Garhwal,50.21,49.79
Dehradun,78.73,21.27
Garhwal,53.76,46.24
Pithoragarh,52.45,47.55
Bageshwar,47.48,52.52
Almora,47.77,52.23
Champawat,60.69,39.31
Nainital,68.3,31.7
Udham Singh Nagar,75.17,24.83
Hardwar,86.11,13.89
Panchkula,77.96,22.04
Ambala,86.02,13.98
Yamunanagar,87.95,12.05
Kurukshetra,79.74,20.26
Kaithal,78.28,21.72
Karnal,79.77,20.23
Panipat,79.71,20.29
Sonipat,74.75,25.25
Jind,70.36,29.64
Fatehabad,71.39,28.61
Sirsa,73.6,26.4
Hisar,70.61,29.39
Bhiwani,69.13,30.87
Rohtak,78.81,21.19
Jhajjar,76.57,23.43
Mahendragarh,68.8,31.2
Rewari,69.68,30.32
Gurgaon,79.39,20.61
Mewat,77.47,22.53
Faridabad,82.34,17.66
Palwal,78.0,22.0
North West,86.02,13.98
North,86.89,13.11
North East,89.86,10.14
East,84.0,16.0
New Delhi,78.84,21.16
Central,85.65,14.35
West,83.79,16.21
South West,83.99,16.01
South,83.9,16.1
Ganganagar,65.34,34.66
Hanumangarh,61.39,38.61
Bikaner,64.95,35.05
Churu,59.97,40.03
Jhunjhunun,60.51,39.49
Alwar,58.19,41.81
Bharatpur,60.42,39.58
Dhaulpur,64.81,35.19
Karauli,59.02,40.98
Sawai Madhopur,59.47,40.53
Dausa,58.17,41.83
Jaipur,69.57,30.43
Sikar,65.36,34.64
Nagaur,60.11,39.89
Jodhpur,64.78,35.22
Jaisalmer,63.19,36.81
Barmer,57.9,42.1
Jalor,55.2,44.8
Sirohi,64.83,35.17
Pali,62.1,37.9
Ajmer,65.12,34.88
Tonk,57.28,42.72
Bundi,59.84,40.16
Bhilwara,58.75,41.25
Rajsamand,58.01,41.99
Dungarpur,54.03,45.97
Banswara,52.61,47.39
Chittaurgarh,56.88,43.12
Kota,71.4,28.6
Baran,59.68,40.32
Jhalawar,58.73,41.27
Udaipur,61.2,38.8
Pratapgarh,61.78,38.22
Saharanpur,87.83,12.17
Muzaffarnagar,83.74,16.26
Bijnor,84.69,15.31
Moradabad,84.17,15.83
Rampur,82.7,17.3
Jyotiba Phule Nagar,76.62,23.38
Meerut,82.42,17.58
Baghpat,82.22,17.78
Ghaziabad,81.0,19.0
Gautam Buddha Nagar,77.91,22.09
Bulandshahr,76.52,23.48
Aligarh,79.14,20.86
Mahamaya Nagar,82.24,17.76
Mathura,75.53,24.47
Agra,80.56,19.44
Firozabad,81.66,18.34
Mainpuri,83.1,16.9
Budaun,84.85,15.15
Bareilly,82.24,17.76
Pilibhit,86.48,13.52
Shahjahanpur,87.79,12.21
Kheri,83.69,16.31
Sitapur,82.33,17.67
Hardoi,82.79,17.21
Unnao,75.66,24.34
Lucknow,79.49,20.51
Rae Bareli,72.0,28.0
Farrukhabad,83.5,16.5
Kannauj,82.13,17.87
Etawah,81.75,18.25
Auraiya,82.47,17.53
Kanpur Dehat,78.55,21.45
Kanpur Nagar,82.68,17.32
Jalaun,75.87,24.13
Jhansi,69.38,30.62
Lalitpur,64.92,35.08
Mahoba,67.82,32.18
Banda,69.16,30.84
Chitrakoot,64.68,35.32
Fatehpur,67.08,32.92
Kaushambi,63.0,37.0
Allahabad,67.53,32.47
Bara Banki,73.04,26.96
Faizabad,71.93,28.07
Ambedkar Nagar,69.52,30.48
Sultanpur,70.0,30.0
Bahraich,77.73,22.27
Shrawasti,72.81,27.19
Balrampur,70.28,29.72
Gonda,73.11,26.89
Siddharthnagar,66.41,33.59
Basti,71.28,28.72
Sant Kabir Nagar,71.09,28.91
Mahrajganj,66.33,33.67
Gorakhpur,75.23,24.77
Kushinagar,72.06,27.94
Deoria,72.93,27.07
Azamgarh,68.65,31.35
Mau,68.23,31.77
Ballia,70.92,29.08
Jaunpur,64.99,35.01
Ghazipur,67.13,32.87
Chandauli,70.95,29.05
Varanasi,75.47,24.53
Sant Ravidas Nagar (Bhadohi),72.92,27.08
Mirzapur,69.51,30.49
Sonbhadra,63.47,36.53
Etah,80.63,19.37
Kanshiram Nagar,79.37,20.63
Pashchim Champaran,67.57,32.43
Purba Champaran,72.56,27.44
Sheohar,77.04,22.96
Sitamarhi,77.69,22.31
Madhubani,67.56,32.44
Supaul,62.86,37.14
Araria,66.21,33.79
Kishanganj,79.61,20.39
Purnia,70.26,29.74
Katihar,75.03,24.97
Madhepura,63.8,36.2
Saharsa,70.28,29.72
Darbhanga,77.47,22.53
Muzaffarpur,77.24,22.76
Gopalganj,74.1,25.9
Siwan,78.33,21.67
Saran,82.45,17.55
Vaishali,80.98,19.02
Samastipur,77.24,22.76
Begusarai,76.25,23.75
Khagaria,71.01,28.99
Bhagalpur,75.25,24.75
Banka,67.15,32.85
Munger,76.75,23.25
Lakhisarai,73.64,26.36
Sheikhpura,67.47,32.53
Nalanda,67.28,32.72
Patna,76.33,23.67
Bhojpur,77.85,22.15
Buxar,74.71,25.29
Kaimur (Bhabua),73.55,26.45
Rohtas,76.54,23.46
Aurangabad,66.93,33.07
Gaya,64.67,35.33
Nawada,66.02,33.98
Jamui,62.16,37.84
Jehanabad,72.92,27.08
Arwal,71.08,28.92
North  District,68.22,31.78
West District,57.96,42.04
South District,60.6,39.4
East District,66.12,33.88
Tawang,68.46,31.54
West Kameng,66.63,33.37
East Kameng,51.79,48.21
Papum Pare,62.74,37.26
Upper Subansiri,53.64,46.36
West Siang,59.29,40.71
East Siang,58.65,41.35
Upper Siang,56.5,43.5
Changlang,62.46,37.54
Tirap,54.9,45.1
Lower Subansiri,57.41,42.59
Kurung Kumey,48.44,51.56
Dibang Valley,62.67,37.33
Lower Dibang Valley,63.16,36.84
Lohit,63.84,36.16
Anjaw,59.27,40.73
Mon,53.79,46.21
Mokokchung,57.05,42.95
Zunheboto,51.82,48.18
Wokha,53.69,46.31
Dimapur,65.84,34.16
Phek,51.77,48.23
Tuensang,53.93,46.07
Longleng,53.24,46.76
Kiphire,52.5,47.5
Kohima,59.34,40.66
Peren,52.53,47.47
Senapati,53.14,46.86
Tamenglong,52.69,47.31
Churachandpur,57.55,42.45
Bishnupur,57.13,42.87
Thoubal,56.0,44.0
Imphal West,60.24,39.76
Imphal East,60.34,39.66
Ukhrul,52.92,47.08
Chandel,55.9,44.1
Mamit,61.05,38.95
Kolasib,61.99,38.01
Aizawl,59.92,40.08
Champhai,56.56,43.44
Serchhip,56.37,43.63
Lunglei,59.05,40.95
Lawngtlai,62.58,37.42
Saiha,62.75,37.25
West Tripura,71.67,28.33
South Tripura,69.03,30.97
Dhalai,67.8,32.2
North Tripura,74.81,25.19
West Garo Hills,59.41,40.59
East Garo Hills,57.32,42.68
South Garo Hills,61.86,38.14
West Khasi Hills,54.91,45.09
Ribhoi,59.99,40.01
East Khasi Hills,62.52,37.48
Jaintia Hills,57.62,42.38
Kokrajhar,69.28,30.72
Dhubri,78.36,21.64
Goalpara,73.67,26.33
Barpeta,79.26,20.74
Morigaon,73.47,26.53
Nagaon,78.24,21.76
Sonitpur,69.71,30.29
Lakhimpur,65.64,34.36
Dhemaji,58.89,41.11
Tinsukia,65.8,34.2
Dibrugarh,65.65,34.35
Sivasagar,66.93,33.07
Jorhat,64.33,35.67
Golaghat,64.41,35.59
