District_name,Total_Hindus,Total_Muslims,Total_Christians,Total_Sikhs,Total_Buddhists,Total_Jains,Other_Religions,Religion_Not_Stated
Kupwara,4.27,94.59,0.2,0.64,0.01,0.0,0.0,0.29
Badgam,1.34,97.65,0.2,0.74,0.01,0.0,0.0,0.06
Leh(Ladakh),17.14,14.28,0.49,0.82,66.4,0.08,0.04,0.75
Kargil,7.34,76.87,0.43,0.83,14.29,0.02,0.0,0.21
Punch,6.84,90.45,0.2,2.35,0.02,0.0,0.0,0.15
Rajouri,34.54,62.71,0.15,2.41,0.03,0.0,0.0,0.15
Kathua,87.61,,0.3,1.55,,0.0,,0.12
Baramula,3.04,95.15,0.15,1.47,0.01,0.0,0.0,0.18
Bandipore,2.15,97.39,0.15,0.14,0.01,0.0,0.0,0.15
Srinagar,3.44,95.19,0.22,0.99,0.02,0.01,0.0,0.13
Ganderbal,1.88,97.69,0.14,0.16,0.01,0.0,0.0,0.12
Pulwama,2.47,95.49,0.2,1.68,0.01,0.0,0.0,0.15
Shupiyan,1.17,98.52,0.16,0.07,0.0,0.0,0.0,0.08
Anantnag,,,0.13,0.57,0.01,,0.0,0.08
Kulgam,1.01,98.49,0.11,0.24,0.01,0.01,0.0,0.14
Doda,45.77,53.82,0.12,0.1,0.01,0.01,0.01,0.18
Ramban,28.56,70.68,0.15,0.27,0.02,0.0,0.09,0.25
Kishtwar,40.72,57.75,0.12,0.2,0.91,0.0,0.22,0.09
Udhampur,88.12,10.77,0.35,0.62,0.02,0.01,0.04,0.07
Reasi,48.91,49.66,0.38,0.99,0.0,0.0,0.0,0.05
Jammu,84.27,7.03,0.79,7.47,0.03,0.13,0.02,0.27
Samba,86.33,7.2,0.72,5.63,0.02,0.01,0.0,0.09
Chamba,92.43,6.25,0.3,0.53,0.34,0.01,0.0,0.14
Kangra,96.76,1.31,0.2,0.59,0.96,0.01,0.01,0.15
Lahul AND Spiti,36.91,0.23,0.67,0.11,62.01,0.01,0.0,0.06
Kullu,94.92,0.68,0.36,0.32,3.51,0.02,0.02,0.17
Mandi,98.16,0.95,0.09,0.41,0.26,0.0,0.01,0.12
Hamirpur,93.61,6.09,0.07,0.05,0.01,0.02,0.02,0.13
Una,92.13,2.74,0.07,4.99,0.01,0.01,0.0,0.04
Bilaspur,95.64,2.13,0.69,0.29,0.1,0.08,0.96,0.12
Solan,94.53,2.53,0.25,2.4,0.1,0.1,0.02,0.07
Sirmaur,89.99,6.27,0.11,2.93,0.5,0.04,0.02,0.14
Shimla,97.23,1.45,0.25,0.5,0.4,0.02,0.02,0.13
Kinnaur,76.95,0.53,,0.3,21.5,,0.05,0.06
Gurdaspur,46.74,1.2,,,0.02,0.03,0.04,0.66
Kapurthala,41.23,1.25,0.67,55.66,0.82,0.07,0.04,0.27
Jalandhar,63.56,1.38,1.19,32.75,0.52,0.18,0.04,0.39
Hoshiarpur,63.07,1.46,0.94,33.92,0.22,0.13,0.03,0.23
Shahid Bhagat Singh Nagar,65.55,1.12,0.24,31.5,0.96,0.11,0.04,0.47
