District_name,Total_Dilapidate_House,House_with_Seperate_Kitchen,House_with_Bath_Facility,House_with_Latrine_Facility
Kupwara,8463.0,104172.0,66361.0,54335.0
Badgam,3733.0,,83385.0,83615.0
Leh(Ladakh),371.0,20134.0,10304.0,18780.0
Kargil,575.0,17751.0,11887.0,17649.0
Punch,,78572.0,19789.0,16586.0
Rajouri,3254.0,88623.0,22470.0,17778.0
Kathua,4036.0,94279.0,47372.0,26033.0
Baramula,7656.0,138439.0,121099.0,113281.0
Bandipore,3922.0,52461.0,43923.0,42035.0
Srinagar,3715.0,164293.0,164263.0,164002.0
Ganderbal,3794.0,39831.0,33167.0,31492.0
Pulwama,3568.0,,61749.0,53836.0
Shupiyan,2392.0,39555.0,33535.0,25628.0
Anantnag,6650.0,137410.0,98110.0,80917.0
Kulgam,3194.0,66620.0,40973.0,31048.0
Doda,1308.0,76597.0,26716.0,23060.0
Ramban,1143.0,,13135.0,10892.0
Kishtwar,1453.0,42978.0,12609.0,10761.0
Udhampur,1832.0,67792.0,21542.0,18063.0
Reasi,793.0,45425.0,11155.0,8334.0
Jammu,12552.0,246479.0,231365.0,162522.0
Samba,1863.0,47597.0,43562.0,20650.0
Chamba,2207.0,92819.0,46292.0,52553.0
Kangra,4856.0,299890.0,229975.0,220258.0
Lahul AND Spiti,53.0,6448.0,4946.0,5232.0
Kullu,1117.0,90542.0,66129.0,55831.0
Mandi,3472.0,196933.0,175038.0,181985.0
Hamirpur,4224.0,295724.0,120259.0,162629.0
Una,1874.0,92378.0,,66103.0
Bilaspur,1046.0,644925.0,197058.0,228085.0
Solan,,109878.0,105861.0,90587.0
Sirmaur,2511.0,76236.0,74088.0,60246.0
Shimla,3690.0,160066.0,153356.0,123535.0
Kinnaur,194.0,16851.0,13902.0,13521.0
Gurdaspur,34047.0,405686.0,360051.0,258924.0
Kapurthala,8913.0,159033.0,149071.0,137713.0
Jalandhar,24899.0,436790.0,422876.0,392909.0
Hoshiarpur,20255.0,310810.0,285730.0,210621.0
Shahid Bhagat Singh Nagar,7238.0,123000.0,115870.0,90711.0
Fatehgarh Sahib,6665.0,109623.0,104467.0,99858.0
Ludhiana,,689982.0,669232.0,667902.0
Moga,13868.0,177546.0,171503.0,167596.0
Firozpur,36458.0,354657.0,303760.0,274015.0
Muktsar,17701.0,165332.0,152188.0,133635.0
Faridkot,9288.0,112702.0,107033.0,99988.0
Bathinda,17698.0,256617.0,241449.0,232629.0
Mansa,,123826.0,128019.0,99571.0
Patiala,21277.0,342661.0,,309524.0
Amritsar,31025.0,458184.0,,379230.0
Tarn Taran,15981.0,188469.0,160573.0,136239.0
Rupnagar,7652.0,124576.0,114310.0,88385.0
Sahibzada Ajit Singh Nagar,10343.0,188089.0,180924.0,155989.0
Sangrur,17744.0,295361.0,282915.0,259912.0
Barnala,7043.0,105996.0,102344.0,93781.0
Chandigarh,8256.0,226263.0,210801.0,206017.0
Uttarkashi,1907.0,60008.0,36136.0,29106.0
Chamoli,1960.0,80492.0,46547.0,45572.0
Rudraprayag,968.0,49793.0,29977.0,28272.0
Tehri Garhwal,3340.0,124900.0,78515.0,74477.0
Dehradun,9840.0,298845.0,283844.0,278971.0
Garhwal,2803.0,152778.0,104175.0,89437.0
Pithoragarh,2317.0,102955.0,58037.0,61543.0
Bageshwar,1651.0,51297.0,28198.0,31604.0
Almora,2306.0,,77118.0,76958.0
Champawat,3117.0,46034.0,24002.0,
Nainital,7986.0,164700.0,145021.0,148745.0
Udham Singh Nagar,17354.0,229403.0,,207848.0
Hardwar,13248.0,264573.0,265523.0,216744.0
Panchkula,5245.0,103319.0,94560.0,77967.0
Ambala,8024.0,193627.0,186183.0,142922.0
Yamunanagar,12340.0,205250.0,193584.0,148667.0
Kurukshetra,7231.0,158156.0,152922.0,136321.0
Kaithal,9252.0,173902.0,153556.0,126896.0
Karnal,11884.0,252406.0,238149.0,215989.0
Panipat,7820.0,,191098.0,176766.0
Sonipat,11516.0,248760.0,224790.0,183719.0
Jind,10853.0,221117.0,186317.0,146428.0
Fatehabad,9757.0,159106.0,,134586.0
Sirsa,13027.0,215779.0,216307.0,215371.0
Hisar,15588.0,305078.0,273915.0,231144.0
Bhiwani,15893.0,289221.0,241914.0,175689.0
Rohtak,7826.0,190149.0,174390.0,147990.0
Jhajjar,8744.0,170101.0,153834.0,123545.0
Mahendragarh,5132.0,152743.0,113329.0,74605.0
Rewari,5173.0,159721.0,134804.0,100436.0
Gurgaon,11975.0,304118.0,290709.0,271169.0
Mewat,13269.0,106186.0,92492.0,36802.0
Faridabad,9755.0,334623.0,313812.0,296399.0
Palwal,9455.0,142348.0,112618.0,74531.0
North West,24844.0,715763.0,633690.0,618297.0
North,6011.0,172937.0,160265.0,158373.0
North East,7975.0,391476.0,372599.0,375856.0
East,6817.0,350135.0,333378.0,331089.0
New Delhi,1121.0,29538.0,27047.0,23658.0
Central,3695.0,112606.0,104791.0,104040.0
West,14856.0,514528.0,474955.0,471008.0
South West,12143.0,454597.0,,421100.0
South,15995.0,542907.0,503279.0,487320.0
Ganganagar,10212.0,317953.0,332389.0,316783.0
Hanumangarh,8365.0,294975.0,278085.0,278373.0
Bikaner,14160.0,345409.0,301031.0,195188.0
Churu,16925.0,311578.0,268120.0,200805.0
Jhunjhunun,8656.0,336430.0,297078.0,205571.0
Alwar,20145.0,514708.0,330836.0,172919.0
Bharatpur,18001.0,353111.0,198184.0,85903.0
Dhaulpur,12024.0,,77503.0,33172.0
Karauli,13804.0,178407.0,69366.0,41754.0
Sawai Madhopur,10366.0,198019.0,,52475.0
Dausa,14177.0,192676.0,85330.0,50480.0
Jaipur,28725.0,993436.0,816767.0,694107.0
Sikar,11294.0,374975.0,328313.0,222955.0
Nagaur,32964.0,506680.0,393528.0,209311.0
Jodhpur,25246.0,588447.0,481462.0,248676.0
Jaisalmer,3396.0,106416.0,79428.0,26456.0
Barmer,22802.0,384807.0,234694.0,66597.0
Jalor,26360.0,230923.0,145214.0,51153.0
Sirohi,11967.0,168576.0,91080.0,54218.0
Pali,20656.0,371789.0,274998.0,124303.0
Ajmer,12075.0,400166.0,305048.0,204571.0
Tonk,5457.0,233360.0,92778.0,49974.0
Bundi,6801.0,181934.0,77636.0,42082.0
Bhilwara,15482.0,427165.0,231845.0,115740.0
