State/UT,Average_Household_size
Uttar Pradesh,5.764889118802231
Lakshadweep,5.681491170699804
Ladakh,5.565415886532099
Jammu and Kashmir,5.477865848612429
Bihar,5.374156579630881
Rajasthan,5.3552821793127094
Meghalaya,5.326132874108999
Jharkhand,5.211450287498895
Haryana,5.148712479921686
Arunachal Pradesh,5.096188312607103
Nagaland,5.078561288576369
Punjab,5.0402907526908045
Manipur,5.01660843297473
Uttarakhand,4.946422377628312
Mizoram,4.941860074725295
Assam,4.90976694466234
Gujarat,4.874506866412176
Madhya Pradesh,4.834549338506155
Nct Of Delhi,4.8066639777991895
Sikkim,4.6996043112127435
Maharashtra,4.631633157758468
Himachal Pradesh,4.62793366718898
Chhattisgarh,4.587587328245331
Karnataka,4.573810235844113
West Bengal,4.477397013829024
Dadra and Nagar Haveli,4.458672652368504
Orissa,4.410429734401674
Kerala,4.358256117707062
Chandigarh,4.352431921926649
Tripura,4.3178643087587405
Telangana,4.293558019407313
Goa,4.292389092136934
Pondicherry,4.182234894249791
Andaman and Nicobar Islands,4.1289731836874575
Tamil Nadu,3.95990738828182
Andhra Pradesh,3.947680204940196
Daman and Diu,3.920470095790067
