State/UT,Pit_Latrine_Percent,Opendrain_Latrine_Percent,Flush_Latrine_Percent,Other_Latrine_Percent
Jammu and Kashmir,19.44,13.38,20.12,48.62
Ladakh,93.49,0.3,57.75,38.38
Himachal Pradesh,83.96,0.95,17.8,2.79
Punjab,90.45,2.81,15.38,4.1
Chandigarh,56.63,7.88,26.06,9.42
Uttarakhand,85.39,2.55,10.45,5.31
Haryana,84.25,3.28,14.78,4.01
Nct Of Delhi,28.15,32.5,14.68,32.39
Rajasthan,117.77,14.16,35.24,14.2
Uttar Pradesh,56.79,6.41,22.7,23.9
Bihar,48.1,4.1,44.12,9.09
Sikkim,131.5,0.8,37.52,1.41
Arunachal Pradesh,62.27,2.32,30.86,13.05
Nagaland,83.43,0.91,25.27,3.37
Manipur,54.11,8.54,24.79,12.56
Mizoram,80.18,0.77,19.3,1.66
Tripura,165.97,1.23,19.71,1.12
Meghalaya,111.45,1.37,34.75,8.22
Assam,84.98,2.2,20.79,4.62
West Bengal,78.16,1.18,17.2,4.28
Jharkhand,57.69,6.39,41.22,10.55
Orissa,67.02,6.9,30.74,17.91
Chhattisgarh,78.08,2.07,48.89,3.87
Madhya Pradesh,59.83,7.59,35.31,11.02
Gujarat,82.75,3.9,15.45,5.15
Daman and Diu,66.07,3.23,24.14,6.56
Dadra and Nagar Haveli,42.18,4.3,33.88,19.64
Maharashtra,76.28,6.26,15.41,8.43
Telangana,74.58,12.35,14.11,16.55
Andhra Pradesh,75.55,7.64,13.99,13.87
Karnataka,91.73,3.4,8.3,5.03
Goa,48.65,2.29,35.96,13.1
Lakshadweep,,,,
Kerala,93.34,0.58,16.49,0.7
Tamil Nadu,73.96,9.52,14.46,14.15
Pondicherry,49.94,13.74,19.56,18.5
Andaman and Nicobar Islands,55.55,3.13,36.78,4.54
