State/UT,AVG_PP_LT_45k,AVG_PP_45k_to_1.5l,AVG_PP_1.5l_to_3.3l,AVG_PP_3.3l_to_5.45l,AVG_PP_GT_5.45l
Jammu and Kashmir,159.74,485.45,171.5,133.45,60.53
Ladakh,36.0,118.0,33.5,22.0,12.0
Himachal Pradesh,160.17,693.0,173.33,189.83,130.33
Punjab,150.85,1367.85,775.55,897.3,500.21
Chandigarh,893.0,10783.0,6729.0,7843.0,7897.0
Uttarakhand,144.0,534.23,133.15,96.92,35.62
Haryana,102.79,1078.1,662.95,608.48,200.95
Nct Of Delhi,578.0,3584.0,1171.0,1049.0,769.0
Rajasthan,328.66,1910.09,333.79,403.36,323.47
Uttar Pradesh,537.2,1951.58,500.54,262.64,98.05
Bihar,618.4,1457.13,177.16,54.24,29.26
Sikkim,35.5,134.75,42.75,8.5,7.25
Arunachal Pradesh,55.0,261.8,59.5,18.38,11.2
Nagaland,36.0,219.73,47.36,22.0,13.27
Manipur,79.56,235.0,42.11,13.44,4.0
Mizoram,21.88,149.12,42.88,28.0,21.88
Tripura,167.75,807.5,219.0,56.0,59.25
Meghalaya,71.86,373.71,95.86,31.71,23.43
Assam,56.08,237.26,52.74,14.89,7.62
West Bengal,970.47,3879.58,1261.63,839.0,434.21
Jharkhand,340.35,958.42,158.12,77.46,70.26
Orissa,405.24,822.1,289.4,86.13,47.61
Chhattisgarh,325.39,1084.78,132.89,91.65,72.18
Madhya Pradesh,322.6,1115.61,129.8,123.96,79.78
Gujarat,294.88,2522.04,860.42,840.31,502.54
Daman and Diu,893.0,10783.0,6729.0,7843.0,7897.0
Dadra and Nagar Haveli,431.0,3449.0,971.0,1707.0,
Maharashtra,449.3,3788.66,1538.83,2059.29,1322.97
Telangana,796.3,3416.5,444.1,447.8,335.1
Andhra Pradesh,894.36,3467.42,287.17,359.85,238.31
Karnataka,386.66,1708.37,521.1,572.6,252.3
Goa,104.5,794.5,299.0,341.5,322.5
Lakshadweep,104.0,795.0,298.0,342.0,322.0
Kerala,575.29,2131.21,579.71,315.57,117.92
Tamil Nadu,421.28,2540.09,1096.12,739.38,480.06
Pondicherry,484.25,3833.75,1907.25,1347.75,1169.75
Andaman and Nicobar Islands,626.33,2270.0,569.67,380.67,181.33
