State/UT,Percent_of_Literate_Education
Jammu and Kashmir,56.14
Ladakh,65.63
Himachal Pradesh,73.42
Punjab,67.43
Chandigarh,76.31
Uttarakhand,68.22
Haryana,65.48
Nct Of Delhi,75.87
Rajasthan,55.84
Uttar Pradesh,57.25
Bihar,50.44
Sikkim,72.87
Arunachal Pradesh,55.36
Nagaland,67.85
Manipur,66.83
Mizoram,77.3
Tripura,76.34
Meghalaya,60.16
Assam,61.46
West Bengal,65.79
Jharkhand,55.56
Orissa,63.71
Chhattisgarh,60.21
Madhya Pradesh,59.0
Gujarat,67.99
Daman and Diu,77.45
Dadra and Nagar Haveli,64.95
Maharashtra,72.57
Telangana,59.06
Andhra Pradesh,60.28
Karnataka,67.04
Goa,79.91
Lakshadweep,81.51
Kerala,84.22
Tamil Nadu,71.85
Pondicherry,76.71
Andaman and Nicobar Islands,77.32
